"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년",
"전국","총인구","명","51069375","51269554","51422507","51629512",
"전국","남자","명","25608502","25696987","25768055","25877195",
"전국","여자","명","25460873","25572567","25654452","25752317",
"전국","내국인-계","명","49705663","49855796","49943260","49977951",
"전국","내국인-남자","명","24819839","24881520","24922392","24931554",
"전국","내국인-여자","명","24885824","24974276","25020868","25046397",
"전국","외국인-계","명","1363712","1413758","1479247","1651561",
"전국","외국인-남자","명","788663","815467","845663","945641",
"전국","외국인-여자","명","575049","598291","633584","705920",
"전국","가구-계","가구","19560603","19837665","20167922","20499543",
"전국","일반가구","가구","19111030","19367696","19673875","19979188",
"전국","집단가구","가구","16464","12968","15949","17209",
"전국","외국인가구","가구","433109","457001","478098","503146",
"전국","주택-계","호","16367006","16692230","17122573","17633327",
"전국","단독주택","호","3973961","3967776","3963072","3948984",
"전국","아파트","호","9806062","10029644","10375363","10826044",
"전국","연립주택","호","485349","492469","502514","508664",
"전국","다세대주택","호","1898090","2000783","2072905","2139885",
"전국","비거주용 건물내 주택","호","203544","201558","208719","209750",
"전국","주택이외의 거처","호","607195","691672","773847","824686",
"읍부","총인구","명","4616802","4707855","4794377","4984023",
"읍부","남자","명","2360708","2410964","2456558","2557807",
"읍부","여자","명","2256094","2296891","2337819","2426216",
"읍부","내국인-계","명","4467697","4548051","4625994","4787535",
"읍부","내국인-남자","명","2262853","2305977","2347613","2431315",
"읍부","내국인-여자","명","2204844","2242074","2278381","2356220",
"읍부","외국인-계","명","149105","159804","168383","196488",
"읍부","외국인-남자","명","97855","104987","108945","126492",
"읍부","외국인-여자","명","51250","54817","59438","69996",
"읍부","가구-계","가구","1737415","1792689","1846901","1942637",
"읍부","일반가구","가구","1695508","1746762","1798810","1890366",
"읍부","집단가구","가구","2189","1846","2277","2505",
"읍부","외국인가구","가구","39718","44081","45814","49766",
"읍부","주택-계","호","1614808","1673803","1749920","1862018",
"읍부","단독주택","호","544351","551606","560283","572652",
"읍부","아파트","호","864404","903764","959130","1040205",
"읍부","연립주택","호","66387","68597","71398","74587",
"읍부","다세대주택","호","112764","123194","131130","145491",
"읍부","비거주용 건물내 주택","호","26902","26642","27979","29083",
"읍부","주택이외의 거처","호","49554","58323","62526","67246",
"면부","총인구","명","4774878","4793569","4835090","4730290",
"면부","남자","명","2455898","2472341","2498157","2453691",
"면부","여자","명","2318980","2321228","2336933","2276599",
"면부","내국인-계","명","4546520","4556905","4592308","4464067",
"면부","내국인-남자","명","2291860","2301931","2324414","2263139",
"면부","내국인-여자","명","2254660","2254974","2267894","2200928",
"면부","외국인-계","명","228358","236664","242782","266223",
"면부","외국인-남자","명","164038","170410","173743","190552",
"면부","외국인-여자","명","64320","66254","69039","75671",
"면부","가구-계","가구","1981033","2016031","2052573","2030579",
"면부","일반가구","가구","1927621","1958876","1993849","1971564",
"면부","집단가구","가구","4284","3298","4055","4177",
"면부","외국인가구","가구","49128","53857","54669","54838",
"면부","주택-계","호","1982064","2012868","2064742","2066655",
"면부","단독주택","호","1524970","1525378","1538966","1536624",
"면부","아파트","호","334810","359250","389938","396594",
"면부","연립주택","호","31485","32994","34592","34705",
"면부","다세대주택","호","61366","65807","70152","68087",
"면부","비거주용 건물내 주택","호","29433","29439","31094","30645",
"면부","주택이외의 거처","호","78036","91210","96877","99218",
"동부","총인구","명","41677695","41768130","41793040","41915199",
"동부","남자","명","20791896","20813682","20813340","20865697",
"동부","여자","명","20885799","20954448","20979700","21049502",
"동부","내국인-계","명","40691446","40750840","40724958","40726349",
"동부","내국인-남자","명","20265126","20273612","20250365","20237100",
"동부","내국인-여자","명","20426320","20477228","20474593","20489249",
"동부","외국인-계","명","986249","1017290","1068082","1188850",
"동부","외국인-남자","명","526770","540070","562975","628597",
"동부","외국인-여자","명","459479","477220","505107","560253",
"동부","가구-계","가구","15842155","16028945","16268448","16526327",
"동부","일반가구","가구","15487901","15662058","15881216","16117258",
"동부","집단가구","가구","9991","7824","9617","10527",
"동부","외국인가구","가구","344263","359063","377615","398542",
"동부","주택-계","호","12770134","13005559","13307911","13704654",
"동부","단독주택","호","1904640","1890792","1863823","1839708",
"동부","아파트","호","8606848","8766630","9026295","9389245",
"동부","연립주택","호","387477","390878","396524","399372",
"동부","다세대주택","호","1723960","1811782","1871623","1926307",
"동부","비거주용 건물내 주택","호","147209","145477","149646","150022",
"동부","주택이외의 거처","호","479605","542139","614444","658222",
"서울특별시","총인구","명","9904312","9805506","9741871","9673936",
"서울특별시","남자","명","4859535","4799115","4757642","4718972",
"서울특별시","여자","명","5044777","5006391","4984229","4954964",
"서울특별시","내국인-계","명","9567196","9470339","9397944","9299511",
"서울특별시","내국인-남자","명","4694317","4636374","4592393","4536552",
"서울특별시","내국인-여자","명","4872879","4833965","4805551","4762959",
"서울특별시","외국인-계","명","337116","335167","343927","374425",
"서울특별시","외국인-남자","명","165218","162741","165249","182420",
"서울특별시","외국인-여자","명","171898","172426","178678","192005",
"서울특별시","가구-계","가구","3914820","3915023","3948850","3981741",
"서울특별시","일반가구","가구","3784490","3784705","3813260","3839766",
"서울특별시","집단가구","가구","2261","1817","2246","2563",
"서울특별시","외국인가구","가구","128069","128501","133344","139412",
"서울특별시","주택-계","호","2793244","2830857","2866845","2894078",
"서울특별시","단독주택","호","355039","345269","331863","322453",
"서울특별시","아파트","호","1636896","1641383","1665922","1679639",
"서울특별시","연립주택","호","117235","116106","114352","112372",
"서울특별시","다세대주택","호","654372","699446","724932","749971",
"서울특별시","비거주용 건물내 주택","호","29702","28653","29776","29643",
"서울특별시","주택이외의 거처","호","150951","166859","194627","208223",
"종로구","총인구","명","161521","154398","157277","157967",
"종로구","남자","명","79510","75620","76670","77147",
"종로구","여자","명","82011","78778","80607","80820",
"종로구","내국인-계","명","146119","144049","146298","145911",
"종로구","내국인-남자","명","71951","70844","71757","71611",
"종로구","내국인-여자","명","74168","73205","74541","74300",
"종로구","외국인-계","명","15402","10349","10979","12056",
